夏春秋,吴耀冬(本名)
金绮泳,金琦泳
金芝美,金明子
吉莲·安德森,吉莉安·安德森
伯哈特·维奇,伯恩哈德·维基
瓦西里·利瓦诺夫,Vasiliy Livanov / 利万诺夫
约瑟夫·赫依费茨,海菲次
布丽吉特·佛西,布丽吉特·福塞
玛格丽特·杜拉斯,玛格丽特·杜拉 / 玛格丽特·莒哈丝(港/台)
阿伦·雷乃,阿兰·雷斯奈斯 / 亚兰雷奈 / 阿伦·雷奈
芭芭拉·斯坦威克,鲁比.斯蒂文斯(本名) / 芭芭拉·史坦威 / 巴巴拉·斯坦威克 / 露比·凯瑟琳·史蒂文斯
特伦斯·斯坦普,特伦斯·亨利·斯坦普(本名)
杰瑞德·莱托,贾德·莱托 / 杰瑞德·约瑟夫·莱托(本名)
克莱尔·弗兰妮,克莱尔·安东尼娅·弗兰妮(本名)
休·格兰特,休·约翰·曼格·葛兰(本名) / 休·葛蘭(台) / 曉·格蘭(港)
让·雷谢夫,让·罗什福尔
克里斯托弗·普卢默,克里斯托弗·普拉默
丽赛特·安东尼,吕塞特·安东尼
奥马尔·沙里夫,奥玛·沙里夫
葛丽泰·嘉宝,葛丽泰·洛维萨·格斯塔夫森 (本名) / 格丽塔·嘉宝
杰瑞米·艾恩斯,杰里米·艾恩斯 / 谢洛美艾朗斯 / 杰勒米·艾恩斯 / 杰瑞米‧艾朗
马塞尔·普鲁斯特,马修·普鲁斯特 / 瓦伦坦·路易·乔治·欧仁·马塞尔·普鲁斯特
弗兰克·辛纳特拉,弗兰克·西纳特拉 / 法兰克·辛纳屈(台) / 法兰·仙纳杜拉(港)
文森特·明奈利,文森特·明柰利
雅克·贝汉,雅克·贝林 / 贾克·贝林
吉塞皮·帕特洛尼·吉费,朱塞佩·帕特罗尼·格里菲
强·沃特,乔恩·沃伊特
哈尔·阿什贝,哈尔·阿什比
斯戴芬·里多,斯蒂芬·里多
卢奇诺·维斯康蒂,鲁基诺·维斯康蒂 / 卢契诺·维斯康提 / 卢契诺·维斯康蒂
凯瑟琳·德纳芙,嘉芙莲·丹露 / 凯萨琳丹妮芙
弗朗索瓦·特吕弗,法兰索瓦·杜鲁福 / 弗杭苏瓦楚浮
奥斯卡·麦考斯,奥斯卡•米切奥克斯
威廉·惠勒,威廉·怀勒
比尔·默瑞,比尔·墨瑞 / 比尔·默里 / 比尔·莫雷
斯嘉丽·约翰逊,斯佳丽·乔安森 / 斯嘉丽·约翰松 / 斯嘉丽·琼森 / 史嘉莉·祖轩逊
索菲亚·科波拉,索菲娅·科波拉 / 苏菲亚哥普拉
马修·古迪,馬修·古迪(台) / 馬修·古德(港)
艾米莉·莫迪默,艾美·莫迪玛
乔纳森·莱斯·梅耶斯,乔纳森·雷·麦耶斯 / 乔纳森·莱斯·迈勒斯 / 乔纳森·迈克尔·弗朗西斯·奥基夫(本名) / 小乔(昵称)
迈克·尼科尔斯,麦克·尼克斯
朱莉娅·罗伯茨,朱丽娅·罗伯茨 / 茱莉亚罗拔斯 / 茱莉亚罗勃兹 / 茱莉亚罗拔丝 / 茱莉亚罗伯茨
查尔斯·博耶,查尔斯·鲍育
阿道夫·门吉欧,阿道夫·曼邱
英格丽·褒曼,英格烈·褒曼 / 英格丽德·伯格曼
贝娅塔·蒂希基维茨,贝娅塔•特什科维奇
让-路易斯·巴劳特,让-路易·巴霍 / 尚-路易·巴侯
埃利达尔·梁赞诺夫,Эльдар Рязанов
李丽珍,李孋珍(曾用名)
尼基塔·米哈尔科夫,尼杰达·米嘉可夫 / 尼基塔·米亥科夫
亚历山大·索科洛夫,亚历山大·苏古诺夫 / 亚历山大·索库罗夫
伊恩·索夫特雷,伊安素利（港）
奥列格·巴希拉什维利,奥列加·巴希拉什维利
史蒂夫·布西密,史蒂夫·布塞米 / 斯蒂夫·巴塞米
毕比·诺维尔什,芭碧·纽薇丝
彼得·威尔,彼德·威尔
莱拉·贝蒂,蕾拉·贝克缇
欧嘉·柯瑞兰寇,奥尔加·库里连科
伊利亚·伍德,伊莱贾·伍德
埃曼纽·本比,靈光
伊斯雷尔·霍洛维茨,伊斯雷尔·霍罗威茨
希亚·拉博夫,西亚·李毕福 / 希安·拉博夫
布蕾克·莱弗利,布莱克·莱弗利
布莱德利·库珀,布莱德利·古柏 / 毕列·谷巴
安东·叶利钦,安顿·耶尔切 / 安东·尤金 / 安东·叶尔钦
奥兰多·布鲁姆,奥兰多·布鲁 / 奥兰度·布林 / 开花(昵称)
克里斯·库珀,克里斯·库柏
杰夫·内桑森,杰夫·纳瑟森
海登·克里斯滕森,凯顿·基斯登逊 / 海登·克里斯唐森
罗宾·怀特,罗宾·怀特·潘 / 萝苹莱特潘 / 罗宾·莱特·潘
米拉·奈尔,娜拉·奈尔
杰拉·菲利浦,钱拉·菲利浦
法提赫·阿金,费斯·阿金
玛吉·吉伦哈尔,玛吉·格莱恩哈尔 / 麦琪·吉伦哈尔 / 麦琪·盖伦哈尔 / 美姬佳伦荷
加斯帕德·尤利尔,加斯帕·尤利尔
西维亚·乔迈,施梵素美
伊莎贝尔·科赛特,伊莎贝尔·库伊谢特
沃尔特·塞勒斯,华特·沙勒斯 / 沃尔特·萨雷斯 / 和路达沙利 / 华特萨勒斯
汤姆·提克威,汤姆·泰克维尔 / 汤姆·蒂克威
阿方索·卡隆,艾方索·柯朗
杰拉尔·德帕迪约,谢勒·狄柏度 / 热拉尔·德帕迪约 / 杰哈德尼狄厄 / 杰拉德·德帕蒂约
伊桑·科恩,伊桑·柯恩 / 伊顿·高安(港) / 伊森·柯恩(台) / 科恩兄弟 / 高安兄弟(港) / 柯恩兄弟(台)
奥利维耶·阿萨亚斯,奥利维耶·阿萨亚
乔尔·科恩,乔·科恩 / 约尔·科恩 / 祖尔·高安(港) / 乔伊·柯恩(台) / 科恩兄弟 / 高安兄弟(港) / 柯恩兄弟(台)
奥黛丽·赫本,柯德莉夏萍 / 奥德丽·赫伯恩
奥利维耶·达昂,奥利维埃·达昂
莫德·弗盖特,茉芙基德
罗杰·瓦迪姆,罗杰·华丁姆 / 罗渣·华汀
拉克洛,皮埃尔·肖戴洛·德拉克洛
让娜·莫罗,珍·摩露 / 珍妮梦露 / 珍·莫罗
梅尔维尔·珀波,梅尔维·珀波 / 梅尔维尔·普波
埃里克·侯麦,艾里克·罗麦尔 / 埃里克·罗默 / 伊力·卢马
卡雷尔·赖兹,卡雷尔·雷兹 / 卡瑞尔·赖兹
克里斯托弗·里夫,克里斯托夫·里弗 / 克里斯多夫·李维 / 基斯杜化·李維
石黑一雄,石墨
休·劳瑞,休·劳里  / 晓·莱利(港)
艾美达·斯丹顿,艾曼达·斯汤顿 / 伊美黛·史道頓(港) / 伊梅尔达·斯汤顿
艾伦·瑞克曼,艾伦·里克曼 / 阿伦·瑞克曼 / 阿兰·瑞克曼 / 阿伦·烈卡文(港)
杰玛·琼斯,泽玛·琼斯 / 盖玛·琼斯
艾玛·汤普森,爱玛·汤逊(港) / 爱玛·汤普森(台) / 埃玛·汤普森
爱德华·摩根·福斯特,E. M. 福斯特
海伦娜·伯翰·卡特,海伦娜·邦汉·卡特 / 海伦娜·伯明翰姆·卡特 / 海伦娜·博纳姆·卡特 / 海伦娜·宝咸·卡达(港)
弗朗索瓦·克鲁塞,弗朗科依斯·克鲁塞特
伊莎贝尔·卡雷,伊莎贝尔·卡莱
尚·乔诺,让·纪沃诺 / 季奥诺
汤姆·威尔金森,湯·韋堅遜(港)
罗伯特·多纳特,罗伯特·多纳
葛丽亚·嘉逊,葛丽·嘉逊
马丁·唐文,马丁·多诺文
琳娜·海蒂,琳纳海蒂 / 莉娜海迪
普希金,亚历山大·谢尔盖耶维奇·普希金
真田广之,真田広之
卢克·纽伯里,新莓(昵称)
保罗·贝坦尼,保罗·贝特尼(别名)
陀思妥耶夫斯基,费奥多尔·米哈伊洛维奇·陀思妥耶夫斯基 / 杜斯妥也夫斯基
朱塞佩·比奇奥尼,朱赛裴毕奇奥尼 / 朱塞佩·皮乔尼
卢伊吉洛·肖卡,路易奇·洛·卡西欧 / 鲁奇·洛·卡西欧
纳瓦·尼姆利,娜伊娃·尼姆里
克劳德·勒鲁什,哥罗德·利劳殊 / 克劳德·赖卢许 / 克劳特雷路许 / 克劳德·勒卢许
莎莉·波特,莎拉•波特
阿方索·阿雷奥,阿方索·阿劳
克里斯蒂娜·里奇,克莉丝蒂娜.里琪 / 姬丝汀娜·莉芝
凯特·贝金赛尔,凯萨琳·贝利·贝金塞尔(本名)
安娜·弗莱尔,安娜菲璐(港)
布兰达·弗里克,布伦达·弗里克
安妮·班克罗夫特,安妮 班克罗夫特 / 安妮 班克劳馥
朱丽安·摩尔,朱利安·摩尔 / 朱莉安·摩尔 / 茱莉安摩亚 / 朱莉安娜·摩尔
梅格·瑞恩,美琪·赖恩 / 梅格·莱恩 / 梅格·瑞安
诺拉·艾芙隆,诺拉·艾芙恩
伊莲娜·雅各布,艾琳·雅各布 / 伊莱娜·雅各布 / 伊莲·谢歌
埃米·罗森,艾米·罗森
让·路易·特兰蒂尼昂,让·路易·特兰蒂尼昂
理查德·劳斯伯格,理查德·洛克斯伯格
约翰·雷吉扎莫,约翰·雷吉扎默、约翰·里古查默
克雷格·皮尔斯,格力 皮雅斯
巴兹·鲁赫曼,巴兹·鲁曼 / 巴兹·鲁尔曼 / 巴兹雷曼
伊万·麦克格雷格,尤恩·迈克格雷格 / 伊云·麦葵格 / 伊万·麦格雷戈 / 伊万·麦奎格 / 尤恩·麦克格雷格
本·阿弗莱克,本·阿弗雷克 / 宾艾佛力 / 班艾佛列克
约瑟夫·费因斯,约瑟夫 法因斯
格温妮斯·帕特洛,格温妮丝·帕特洛 / 格温妮斯·帕特罗
杰弗里·拉什,杰弗瑞·拉什 / 乔弗里·拉什 / 谢菲·路殊(港) / 杰佛瑞·罗许(台)
基努·里维斯,奇洛·李维斯 / 基奴·李维 / 基努·李维斯
薇朵儿·希维索,维多莉亚希维索
乔·舒马赫,乔伊·舒马克
杰拉德·巴特勒,谢拉·毕拿(港) / 杰哈德巴特勒 / 杰哈德巴狄厄
约翰尼·德普,尊尼狄普 / 强尼戴普 / 尊尼特普
凯瑞-安·莫斯,凯莉-安·摩斯 / 凯莉·安妮·莫斯
朱莉·德尔佩,朱丽·黛比 / 朱莉·德尔比 / 朱丽·德尔比 / 茱莉·蝶儿(台)
埃玛妞·丽娃,艾玛纽埃尔·里瓦
彼得·法尔克,彼得·福克
海伦·文森特,海伦·樊尚
克日什托夫·皮耶谢维茨,克日什托夫·皮尔斯维奇
克日什托夫·基耶斯洛夫斯基,克日什托夫·奇斯洛夫斯基 / 古兹托夫·奇士劳斯基
苏菲·玛索,苏菲·玛素
文森特·佩雷斯,樊尚·佩雷 / 文森特·佩雷 / 文森·佩雷兹
厄兰·约瑟夫森,埃尔兰德·约瑟夫松
丹尼尔·戴-刘易斯,丹尼尔·迈克尔·布莱克·戴-刘易斯(本名)
莉娜·奥琳,莲娜欧琳
吉姆·罗斯·斯图尔特,金·罗斯·斯图尔特
依蕾·莎丝特,伊内斯·萨斯特雷 / 茵斯·赛斯特
让·雷诺,尚·连奴 / 尚·雷诺
约翰·马尔科维奇,尊·麦高维治(港) / 约翰·马克维奇(台)
让-克劳德·卡瑞尔,让-克劳德·卡里埃尔
切瑞拉·凯瑟莉,琪雅拉·凯瑟莉
艾丽卡·莫露珊,埃瑞卡.马若赞 / 艾丽卡·玛洛兹珊
菲利普·考夫曼,菲腊卡夫曼
菲利普·塞默·霍夫曼,菲利普·塞莫尔·霍夫曼 / 菲腊西摩荷夫曼(港) / 菲利浦·西摩·霍夫曼(台)
娜塔莉·波特曼,娜塔丽·波特曼 / 娜塔丽·波曼 / 娜塔莉·波曼
妮可·基德曼,妮歌洁曼 / 妮科尔基曼
蕾妮·齐薇格,芮妮·齐薇格 / 蕾妮·泽尔薇格 / 瑞妮·齐威格 / 云妮·施维嘉
裘德·洛,祖狄·罗 / 朱迪·劳
山姆·尼尔,萨姆·尼尔
哈威·凯特尔,哈威·凯特 / 哈威·凯托 / 哈维·凯托 / 哈维·凯特尔
简·坎皮恩,简康平 / 珍康萍
丝莉亚·洛芙,赛茜丽雅·罗思
莱奥·卡拉克斯,列奥·卡拉克斯 / 李欧卡霍(台)
吕克·贝松,洛·比桑(港) / 卢·贝松(台) / 路·比桑
皮娜·鲍什,碧娜·鲍许 / 翩娜·包殊
梅丽尔·斯特里普,梅莉史翠普
杰拉丁·卓别林,杰拉尔丁·卓别林
佩德罗·阿莫多瓦,艾慕杜华
哈维尔·卡马拉,加维埃尔·卡马拉 / 哈维耶卡马拉 / 贾维尔·卡马拉
布拉德·皮特,毕彼特 / 布莱德彼特
安东尼·霍普金斯,安东尼·鹤健士(港译)
朱莉娅·奥蒙德,朱莉娅·奥芒德
本尼迪克特·康伯巴奇,班尼狄·甘巴贝治(港) / 班奈狄克·康柏拜区(台) / 卷福(昵称) / 缺爷(昵称)
西尔莎·罗南,西尔沙·罗南 / 斯奥里兹·罗南 / 斯奥莎·罗南 / 塞奥斯·罗南
冯瓅,冯璤 / 冯砾 / 冯粒
米歇尔·菲佛,蜜雪儿菲佛
玛吉·史密斯,玛姬·史密斯
詹姆斯·麦卡沃伊,詹姆斯·安德鲁·麦卡沃伊(本名) / 占士·麦艾禾(港) / 詹姆斯·麦艾维(台) / 詹姆斯·麦克沃 / 詹姆斯·麦克沃伊 / 詹姆斯·迈卡沃伊 / 一美(昵称)
达斯汀·霍夫曼,德斯汀·荷夫曼
琳赛·洛翰,林赛·罗韩 / 林赛·洛韩 / 琳赛·罗汉 / 林赛·罗韩 / 琳赛·露安
卢夫斯·塞维尔,鲁夫斯·席维尔
科鲁姆·费奥瑞,科尔姆·费奥瑞
卡梅隆·迪亚茨,金马伦戴雅丝 / 卡梅隆迪娅兹 / 卡梅伦·迪亚丝 / 卡梅伦·迪亚兹
宝拉·巴顿,葆拉·帕顿
伊娃·门德斯,爱娃·门德斯 / 伊娃·曼德斯
威尔·史密斯,韦史密夫
德鲁·巴里摩尔,祖芭莉摩亞(港)
亚当·桑德勒,亚当山德勒
彼得·西格尔,彼得·席格
科林·费尔斯,科林·费斯 / 柯林·菲尔斯 / 柯林·费尔斯 / 科林·菲尔什 / 科林·弗思 / 脸叔(绰号)
克里斯汀·斯科特·托马斯,姬丝汀·史葛·汤玛丝(港) / 克莉丝汀·史考特·汤玛斯(台) / 克莉斯汀·史考特·汤玛士 / KST（昵称）
威廉·达福,威廉姆·达福
朱丽叶·比诺什,茱丽叶·庇洛仙 / 茱丽叶·毕诺许
迈克尔·翁达杰,迈克尔·昂达奇
费雯·丽,慧雲·李(港) / 薇薇安·李 / 薇薇安·玛丽·哈特莱(原名) / 维维恩·莉
西德尼·格林斯垂特,悉尼·格林斯特里特
安东尼·明格拉,安东尼·明盖拉
妲露拉·莱莉,泰露拉李利 / 塔露娜·莱利
吉娜·马隆,吉娜·马龙
凯瑞·穆里根,凯瑞·茉莉简 / 凯芮·穆里根 / 凯莉·穆里根 / 凯瑞·穆利甘 / 凯瑞·穆丽根
裴淳华,罗莎曼德·派克 / 罗莎蒙德·派克
马修·麦克费登,马修·麦克菲迪恩
凯拉·奈特莉,凯拉·奈特莉 / 凯拉·奈特利 / 姬拉丽莉
简·奥斯汀,简·奥斯特
乔·赖特,乔·怀特
马修·格雷·古柏勒,马导 / R宝宝 / 男神经
佐伊·丹斯切尔,佐伊·德香奈儿 / 祖伊·黛丝香奈儿 / 素儿·达莎妮 / 素儿·克莱儿·达莎妮 / 素儿·狄丝查露 / 佐伊·克莱儿·丹斯切尔(本名) / 大傻妞(昵称)
克拉克·格雷格,寇森（昵称） / 克拉克 格拉格
约瑟夫·高登-莱维特,约瑟芬·戈登·罗维特 / 囧瑟夫(昵称) / 祖瑟夫·哥顿·利域
马克·鲁弗洛,马克·鲁法洛 / 马克·拉法罗 / 麦克雷法路(港)
克斯汀·邓斯特,克尔斯滕·邓斯特 / 克里斯汀·邓斯特 / 克里斯滕·邓斯特 / 克莉丝汀·邓斯特 / 姬丝汀·登丝(港) / 柯丝婷·邓斯特(台)
连姆·尼森,里安纳逊(港) / 连恩尼逊(台) / 利亚姆·尼森 / 连恩·尼森
赵寅成,赵仁成
瑞斯·伊凡斯,瑞什·伊凡斯 / 瑞斯·艾文斯 / 里斯·伊凡斯(港) / 瑞斯·伊凡(台)
马丁·弗瑞曼,马田·费曼(港) / 潮爷 / 小自由
詹妮弗·康纳利,珍妮弗·康奈利
罗温·艾金森,罗文·艾金森 / 罗文·阿特金森 / 路云·雅坚逊 / 憨豆先生(昵称)
劳拉·琳妮,罗拉·琳妮 / 劳拉·林尼
比尔·奈伊,标·尼菲(港) / 比·乃尔(台)
徐英姬,徐令姬 / 徐瑛姬
李己雨,李基佑 / 李己宇 / 李基宇
曹承佑,赵承佑
金·凯瑞,占基利 / 吉姆·凯瑞
孙艺珍,孙言珍(原名)
米歇尔·贡德里,米歇尔·甘德瑞 / 米歇尔·龚特利 / 麦克尔·嘉德纳 / 米歇尔·冈瑞
瑞恩·高斯林,莱恩·高斯林 / 高司令(昵称) / 赖恩·高斯宁 / 雷恩·葛斯林
瑞秋·麦克亚当斯,蕾切尔·麦克亚当斯 / 麗素·麥阿當絲(港)
吉娜·罗兰兹,吉娜•洛兰兹
吉娜·格申,吉娜·吉舍恩
丽莎·库卓,莉莎·库卓
希拉里·斯万克,希拉里·斯旺克
吉姆·斯特吉斯,吉姆·斯特加斯 / 占史杜哲斯(港) / 吉姆·史特格斯(台)
拉菲·斯波,拉菲·斯帕尔
派翠西娅·克拉克森,派翠西娅·戴维斯·克拉克森(本名)
罗勒·莎菲,罗内·莎菲
尼克·卡索维茨,尼克·卡萨维茨 / 尼克·卡萨维兹
艾丽·范宁,艾尔·范宁
芮安·辛普金斯,瑞恩·辛普金斯
萨姆·门德斯,森曼特斯 / 山姆曼德斯
大卫·芬奇,大卫·芬查 / 戴维·芬彻
塔拉吉·P·汉森,泰拉姬·汉森
史蒂芬·戴德利,史蒂芬·道瑞
郑祖,郑锦荣（原名）
戴维·黑尔,大卫·黑尔
蒂博•费尔哈格,思鲍尔特·沃黑赫
贾梅尔·杜布兹,雅梅尔·德布兹 / 加梅勒·杜布兹
友兰达·梦露,约朗德·莫霍
马修·卡索维茨,马蒂厄·卡索维茨 / 马修卡索维兹
奥黛丽·塔图,奥黛丽·多杜 / 奥黛莉·朵杜(台) / 柯德莉·塔图(港) / 奥德丽·多杜
米歇尔·威廉姆斯,米切尔·威廉姆斯 / 米雪·威廉丝
杰克·吉伦哈尔,杰克·格莱恩哈尔 / 杰克·葛伦霍 / 杰克·吉伦希尔 / 杰克·盖伦哈尔
安妮·海瑟薇,安妮·夏菲維(港)
希斯·莱杰,希斯·莱吉尔 / 希斯·莱杰尔 / 西斯·莱杰
拉里·麦克穆特瑞,赖瑞·麦可莫特瑞
亚利桑德罗·巴里克,亚历山卓·巴瑞科
朱塞佩·托纳多雷,基斯比·汤纳度 / 吉斯皮托那多利 / 朱塞佩·托纳托雷 / 吉赛贝·托纳多雷
小小彬,温玄烨(原名)
卡罗琳·古多尔,卡罗琳·古道
史蒂文·斯皮尔伯格,史提芬·史匹堡 / 史蒂芬·斯皮尔伯格 / 斯蒂文·斯皮尔伯格
祖德·塞克利拉,裘德·斯克勒拉
弗兰克·德拉邦特,弗兰克·达拉邦特
费振翔,费洋 / 费贺楠
李碧华,李白(本名)
陈凯歌,陈皑鸽(别名)
张同祖,張同祖
岸西,何碧雯 (本名)
铃木兰兰,铃木智子（本名）
张耀扬,潇洒哥(昵称)
小栗香织,小栗香織
钱似莺,洪妈妈(昵称)
金庸,查良镛(本名) / 林欢(笔名)
张睿羚,张睿玲 / 张敏仪
董洁,小董老师(别名)
吴廷烨,吴玉寿
方皓玟,吴嘉欣
维克多·加博,维克托·加柏
麦温,麦温·勒·贝斯柯(本名)
海蒂·麦克丹尼尔斯,哈蒂•麦克丹尼尔
克拉克·盖博,奇勒·基宝 / 威廉·克拉克·盖博(本名)
比利·赞恩,小威廉·乔治·泽恩(本名)
凯西·贝茨,凯西·贝兹
凯特·温丝莱特,凯特·温斯莱特 / 凯特·伊丽莎白·温斯莱特(本名) / 琦·温斯莉(港) / 凯特·温斯蕾(台)
詹姆斯·卡梅隆,占士·金马伦 / 詹姆斯·卡麦隆 / 詹姆斯·卡梅伦 / 詹姆士·柯麦隆 / 詹姆斯·弗朗西斯·卡梅隆(本名)
莱昂纳多·迪卡普里奥,李奥纳多·迪卡普里奥 / 里安纳度·迪卡比奥 / 小李(昵称) / 小李子(昵称)
胡大为,胡大為
赵文卓,赵卓(本名)
程小东,程冬儿
汪禹,汪志权(本名)
吴承恩,吴汝忠
温碧霞,温碧玉
邱刚健,邱戴安平 / 戴安平 / 秋水长安 / 耶律楚材
袁咏仪,靓靓(昵称)
关德兴,新靓就
黎姿,黎珈而(现用名) / 荔枝(昵称) / 愛美神(昵称)
陈锦鸿,雄头 (昵称)
陈百强,丹尼 / Danny仔
关海山,关铭觉 (本名) / 关宁 / 虾叔 (昵称)
毛舜筠,毛毛(昵称)
黄坤玄,坤玄
陈淑兰,兰子（昵称） 陈道然（现名）
周润发,发哥(昵称)  / 小马哥(昵称)
张伟平,张卫平
张鹭,张路
范伟,彪哥(昵称)
李成儒,李诚儒(别名)
咏梅,森吉德玛
范冰冰,范爷(昵称)
尤勇,尤勇智
焦刚,焦俊翔(本名)
张艺谋,老谋子(昵称)
傅彪,付彪
林子善,洪爷(昵称)
张柏芝,小林青霞(美誉) / 张栢芝
冯克安,馮源 / 馮堅 / 克仔
释彦能,释行宇 / 张淑武 (本名) / 释延能
张曼玉,玛姬，曼神（影迷昵称）
王祖贤,祖儿 小贤
张国荣,张发忠(本名) / 张发宗(曾用名) / 哥哥(昵称) / 荣少(昵称) / 十仔(昵称)
黄霑,黄湛森(本名) / 黄沾
袁祥仁,袁长仁(又名)
刘家辉,冼锦熙(本名)
李若彤,李慧娴(本名)
李健仁,如花
梁荣忠,忠仔 (昵称)
黄一飞,黄启宇(本名) / 大师兄铁头功(昵称)
邹兆龙,倪星
汤镇业,女人汤团（绰号）
薛家燕,薛家彦 / 家燕姐 / 家燕媽媽 / 好姨
蔡少芬,美女芬(昵称) / 叉烧芬 / 凉凉
温兆伦,温兆麟(曾用名)
梁家仁,Bryan Leung
程东,独眼龙 / 大军 / 陈献栋(别名)
邱淑贞,豆豆(昵称)
张学友,歌神(昵称) / 学友(昵称) / 七仔(昵称) / 友友(昵称)
刘德华,刘福荣(曾用名)
向华强,向華強
恬妞,朱凯莉
秦沛,姜昌年(本名)
古明华,古佬(昵称) / 苏基(昵称)
邓兆尊,慈善羚羊(昵称) / 尊哥(昵称)
梁小熊,梁少熊 / 梁茂熊
柯受良,小黑
陈彦行,行姐(昵称) / 三姑娘(昵称)
黄美棋,黄美琪
王书麒,黄书骐 / 王书祺
郑秀文,阿咪(昵称)、郑四万、票房天后
梁咏琪,梁碧姿 / 高妹
林保怡,林展平(本名)
张雨绮,张爽(本名)
邵丽琼,两蚊(别名) / 二员(别名)
周星驰,星爷(昵称) / 周星星(昵称)
郑伊健,伊面(昵称)
陈奕迅,陈医生(昵称)
赵薇,薇薇(昵称) / 小薇(昵称) / 小燕子(昵称)
邓萃雯,邓翠雯
钟澍佳,钟晴
何云伟,何大拿
王光利,时间
佟大为,为为(昵称)
徐熙媛,珊珊(昵称) / 大S
黄渤,卅帝、渤哥（昵称）
宋佳,小宋佳(昵称)
柳云龙,柳永青 (原名)
闫妮,大美(昵称) / 艳艳(昵称)
宁财神,陈万宁
阿甘,刘晓光(原名)
田蕊妮,田明慧(原名)
汪涵,汪建刚
李香琴,李瑞琴(原名)
熊黛林,熊熊 / 阿Lynn
元彪,夏令震(本名)
吴君如,三姑(昵称) / 小如(昵称)
古天乐,古仔(昵称) / 古古(昵称) / DV(昵称)
黄子桓,黄子恒
董骠,朱文彪
钟楚红,红姑(昵称) / 鍾楚紅
黎小田,黎田英(本名)
罗家英,罗行堂(本名)
苑琼丹,苑丽琼(本名)
张静初,张静(原名)
任贤齐,小齐 / 任賢齊
叶丽仪,葉麗儀
郝凯瑞,凯瑞·贝里·布罗根 / 凯瑞
李力持,李导演 / 大力 / 东莞仔
林熙蕾,Lin Hsi Lei
陈柏霖,陈韦志
谢娜,闰土嫂 / 娜娜 / 娜姐 / 坡姐
葛优,葛憂(港) / 优子 / 葛大爷(昵称)
许冠英,阿英
陈志朋,小帅虎
小沈阳,沈鹤(本名)
平凡,平永寿
罗兰,卢燕英(曾用名)
吴宇森,Wu Yusen
童玲,童铃
苗侨伟,三哥(昵称)
秦祥林,查理(昵称)
沈雁,周美麟
陈勋奇,陈永煜
司马燕,韩小玲(本名)
洪金宝,元龙（昵称）
江欣燕,欣欣(昵称)
张凤妮,鳳梨
河国荣,Kwok-wing Ho
吴雪雯,吴雪文
丹尼斯·罗德曼,大虫(昵称)
德里克·卢克,德瑞克·卢克
索菲娅·维加拉,苏菲亚维佳乐(台)
范妮莎·费丽托,凡妮莎·费里托
安娜·肯德里克,安娜·姬妲妮
詹森·舒瓦兹曼,杰森·施沃茨曼
安娜索菲亚·罗伯,安娜蘇菲亞(港)
梅艳芳,何加男(契名)
梁朝伟,伟仔(昵称) / 老虎(昵称)
秦煌,梁日成
上山诗钠,上山安娜
萧荣,萧嘉荣
韦家辉,韦一笑 / 韦小宝
翟天临,阿拉小平平(昵称)
郭德纲,郭德刚
于飞,俞其昌
黄小蕾,小蕾 / 蕾姐 / 蕾蕾 / 小闪
阿朵,符莹(本名)
午马,冯宏源(本名)
吴孟达,达叔(昵称)
缪骞人,Hin-yen Miu
郑柏林,小柏林(昵称)
郑裕玲,嘟嘟(昵称)
任达华,任達華 / 华哥(昵称)
范文芳,范雯芳
埃尔多冈·阿塔雷,埃尔多冈·阿塔雷 / 艾尔杜甘·阿塔雷
罗敏娜·曼德罗,罗米纳·蒙德罗
克里斯托弗·沃尔兹,克里斯托弗·瓦尔兹 / 克里斯托弗·华尔兹
田川洋行,凯里-川田博之
孙艺菲,孙逸飞 孙鐿菲
艾乐蒂·纳瓦,艾罗蒂·纳瓦赫 / 艾乐蒂·纳菲
蒂莫斯·道灵,提姆西·道陵
米洛·文堤米利亚,米洛·温缇米格丽娅
阿什丽·提斯代尔,阿什丽·泰斯代尔 / 艾希莉·提斯代尔
艾米丽·奥斯蒙特,艾米丽·奥斯蒙
王择谚,王立新
杨丽菁,楊麗青
那威,叶赫那拉·声威
姚笛,笛子(昵称)
雪村,韩健
刘观伟,烂片制作者
杜家毅,杜鹏
邱胜翊,王子
徐峥,徐铮
奥黛塔·安纳布尔,奥狄缇·雅丝曼 / 奥洁塔·雅丝曼 / 奥黛塔·雅丝曼
王一楠,王霞
李铁,李毓祯(本名)
黄炳耀,Pin Yiu Wong
克雷格·费格森,克雷格·费格斯
郑则仕,肥Kent / Kent哥 / 肥猫 / 郑则士(误)
徐小明,徐耀明 / 小明哥
石坚,石容璋 / 奸人坚(昵称)
尔冬升,小宝(昵称) / 爾冬陞
洛朗·加默隆,罗航·卡攻龙
芳妮·瓦莱特,法妮·瓦莱特
盖瑞·马歇尔,加里·马歇尔
吕秀菱,吕琇菱 / 吕秀龄(本名)
张瑛,ying zhang
郑少秋,郑创世(本名)
傅声,张景贤(本名) / 张富声(又名)
达蒙·韦恩斯,达蒙·威亚斯
安·海切,安妮·海切 / 安·海契
西格妮·韦弗,薛歌妮·韦弗 / 西德尼·威福
艾德·赫尔姆斯,艾希姆斯(港) / 爱德华·帕克·赫姆斯
迈克尔·加拉布鲁,米歇尔·加拉布鲁
刘松仁,Lau Chung Yan
关之琳,关家慧(本名) / 关芝琳 / 十三姨
